Epoch,Train_Loss,Test_Accuracy
1,0.9087396908744512,78.43
2,0.7619980162942707,78.96
3,0.7376640446660462,80.1
4,0.7245995533901075,78.92
5,0.7112662544234472,80.47
6,0.7011811023176441,81.06
7,0.6872015228388939,80.64
8,0.6796970185910137,80.71
9,0.6785738382271598,81.09
10,0.6705402117734983,80.58
11,0.6534237995009657,80.7
12,0.6612043179576396,81.26
13,0.6550687227066861,80.57
14,0.6543593593918965,81.21
15,0.6433528262170858,81.16
