Epoch,Train_Loss,Test_Accuracy
1,0.8830853919912742,77.13
2,0.7472564943196753,78.19
3,0.7219872555230111,78.98
4,0.7020193358605593,79.73
5,0.6897688381235644,79.92
6,0.6805769001453714,81.11
7,0.6667822738126234,81.05
8,0.6628041322118414,81.97
9,0.6512394027780891,80.44
10,0.6451478026955081,81.48
11,0.6397432469532266,81.59
